h1 /Title,h2/meta,body,1. h3,"Billboard Hot 100 (USA) - 1., 1990. január 20 - 1990. február 10.",Official Charts (UK),Offizielle Deutsche Charts (DE) ,2. h3,YouTube link,YouTube beágyazás link,Adatlap készítésének dátuma,Megtekintések,Like-ok száma,Dislike-ok száma,Kommentek száma,3. h3,Dal,Előadó - címke 1,Album,Műfaj,Kiadás éve,Díjak,4. h3,Wikipedia ,Deezer,Spotify,Google Play,5. h3,Dalszöveg link
"=CONCATENATE(Q12, "" - "", R12, "" - "", U12)","Roxette, It must have been love egyik legismertebb és legsikeresebb száma, mely az 1990 június 16-tól egészen június 30-ig uralta a Billboard 100-as listát. ","A dal négy különféle változata jelent meg hivatalosan. Az eredeti dal 1987-ben jelent meg, amelyet a legsikeresebb megtestesülés követ , az 1990-es Pretty Woman film zenéjére készített, kissé szerkesztett változat",It Must Have Been Love a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1990-06-16"",""Billboard Hot 100 (USA) - 1.,1990. június 16 - 1990. június 30"")","=HYPERLINK(""https://www.officialcharts.com/search/singles/it-must-have-been-love/"",""Official Charts (UK) - 3., 1990. június 2."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2131"",""Offizielle Deutsche Charts (DE),Offizielle Deutsche Charts (DE) 4., 1990.június 18."")",Roxette It Must Have Been Love videóklip a YouTube oldalán,https://www.youtube.com/watch?v=k2C5TjS2sh4,https://youtu.be/k2C5TjS2sh4,2019. augusztus 14-én,"406,303,266 megtekintés",1.2M like,58K dislike,"39,328 komment",Roxette It Must Have Been Love című dalának adatai,It Must Have Been Love,Roxette,Tourism,Pop,1992,-,Tudj meg még többet Roxette It Must Have Been Love című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/It_Must_Have_Been_Love"",""Wikipedia"")","=HYPERLINK(""https://www.deezer.com/hu/track/97085034?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/6Zd1OLqFX5geleqvJ9xtAL"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tuuybkdo5hhmefshyah2fxbkum4?play=1&u=0"",""Google Play"")",Roxette It Must Have Been Love dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/roxette/itmusthavebeenlove.html"",""Roxette It Must Have Been Love dalszöveg"")"
"=CONCATENATE(Q13, "" - "", R13, "" - "", U13)",A Step by Step a New Kids on the Block legsikeresebb előadása. A dal három hétig vezette a USA Billboard Hot 100-as listát. ,A Step by Step az 1990-es évek legnagyobb eladási kislemeze. Videóklippjében Mark Wahlberg is feltűnik.. ,Step By Step a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1990-06-30"",""Billboard Hot 100 (USA) - 1.,1990. június 30 - 1990. július 21."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/step-by-step/"",""Official Charts (UK) - 2., 1990. júnnius 16."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2133"",""Offizielle Deutsche Charts (DE),Offizielle Deutsche Charts (DE) 8., 1990.június 18."")",New Kids on the Block Step By Step videóklip a YouTube oldalán,https://www.youtube.com/watch?v=nITMhO3ZPZM,https://youtu.be/nITMhO3ZPZM,2019. augusztus 16-án,"5,870,960 megtekintés",23K like,"1,3K dislike",991 komment,New Kids on the Block Step By Step című dalának adatai,Step By Step,New Kids on the Block , Step by Step,"Pop, Dance-Pop",1990,-,Tudj meg még többet New Kids on the Block Step By Step című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Step_by_Step_(New_Kids_on_the_Block_song)"",""Wikipedia"")","=HYPERLINK(""https://www.deezer.com/hu/album/115829?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/4dCdnfD0shXGuHtyTOtx8q?autoplay=true&v=L"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Bkvaswzdlcbyi7zscfkdrgys6tq?play=1&u=0"",""Google Play"")",New Kids on the Block Step By Step dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/newkidsontheblock/stepbystep.html"",""New Kids on the Block Step By Step dalszöveg"")"
"=CONCATENATE(Q14, "" - "", R14, "" - "", U14)","She Ain't Worth It című szám két hétig vezette a Billboard Hot 100-as listát, 1990. július 21-e és augusztus 4.-e között .","She Ain't Worth It című számot eredetileg Bobby Brown írta, Glenn Medeiros pedig előadta. ",She Ain't Worth It a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1990-07-21"",""Billboard Hot 100 (USA) - 1.,1990. július 21 - 1990. augusztus 4"")","=HYPERLINK(""https://www.officialcharts.com/search/singles/she%20ain't%20worth%20it/"",""Official Charts (UK) - 12., 1990. június 30."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-17674"",""Offizielle Deutsche Charts (DE),Offizielle Deutsche Charts (DE) 15., 1990.július 23."")",Glenn Medeiros feat Bobby Brown She Ain't Worth It videóklip a YouTube oldalán,https://www.youtube.com/watch?v=XKD7HNTF2io,https://youtu.be/XKD7HNTF2io,2019. augusztus 16-án,"62,634 megtekintés",654 like,15 dislike,89 komment,Glenn Medeiros feat Bobby Brown She Ain't Worth It című dalának adatai,She Ain't Worth It,Glenn Medeiros feat Bobby Brown,Glenn Medeiros,Pop,1987,-,Tudj meg még többet Glenn Medeiros feat Bobby Brown She Ain't Worth It című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/She_Ain%27t_Worth_It"",""Wikipedia"")","=HYPERLINK(""https://www.deezer.com/hu/track/7278577?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/4UcOaKxloivYLXGQlfUmtb"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Txhwiqqb7dsxrosnzkeiuemqso4?play=1&u=0"",""Google Play"")",Glenn Medeiros feat Bobby Brown She Ain't Worth It dalszöveg,"=HYPERLINK(""https://genius.com/Glenn-medeiros-she-aint-worth-it-lyrics"",""Glenn Medeiros feat Bobby Brown She Ain't Worth It dalszöveg"")"
"=CONCATENATE(Q15, "" - "", R15, "" - "", U15)","A Vision of Love  az amerikai énekes és dalszerző, Mariah Carey debütáló kislemeze. A dal négy hétig vezette az amerikai Billboard top 100-as listát. ","A Vision of Love számos televíziós és díjkiosztó ünnepségen szerepelt, mint például az Arsenio Hall Show , a Good Morning America és a 33. éves Grammy Awards . Az előadást Mariah Carey szinte minden koncertjén és turnéján bemutatták. A dal szerepel a szerző első albumán is. ",Vision of Love a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1990-08-04"",""Billboard Hot 100 (USA) - 1.,1990. augusztus 4 - 1990. szeptember 1.)"")","=HYPERLINK(""https://www.officialcharts.com/search/singles/vision%20of%20love/"",""Official Charts (UK) - 9., 1990. augusztus 4."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2155"",""Offizielle Deutsche Charts (DE),Offizielle Deutsche Charts (DE) 17, 1990.augusztus 27.)"")",Mariah Carey Vision of love videóklip a YouTube oldalán,https://www.youtube.com/watch?v=tov22NtCMC4,https://youtu.be/tov22NtCMC4,2019. augusztus 18-án,24 278 189 megtekintés,117K like,3.8K dislike,8038 komment,Mariah Carey Vision of love című dalának adatai,Vision of love,Mariah Carey,Mariah Carey,Kortárs R&B,1990,"Grammy díj legjobb női pop előadó, Soul Train zenei díj a legjobb R & B / Soul Single női előadó",Tudj meg még többet Mariah Carey Vision of love című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Vision_of_Love"",""Wikipedia"")","=HYPERLINK(""https://www.deezer.com/hu/track/596011?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/5SwNGsGw1I8H361DKiYnnn"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tzjzh5slrb56yljwy66do47x73u?play=1&u=0"",""Google Play"")",Mariah Carey Vision of love dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/mariahcarey/visionoflove.html"",""Mariah Carey Vision of love dalszöveg"")"
"=CONCATENATE(Q16, "" - "", R16, "" - "", U16)","Sweet Sensation karierjének legnagyobb slágere, 1990. szeptember 1-jén az Egyesült Államokban a Billboard top 100-as listán elérte az első helyezést. ","A dal albumverziója húrokkal és flamenco gitárral kezdődik , majd gyorsan feláll egy szintetizátor sorba, egy erős elektromos gitár szólóval",If Wishes Came True a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1990-09-01"",""Billboard Hot 100 (USA) - 1.,1990. szeptember 1 - 1990. szeptember 8."")",-,-,Sweet Sensation  If Wishes Came True videóklip a YouTube oldalán,https://www.youtube.com/watch?v=wHqqraFrrd0,https://youtu.be/wHqqraFrrd0,2019. augusztus 18-án,"850,052 megtekintés",4.2K like,162 dislike,443 komment,Sweet Sensation  If Wishes Came True című dalának adatai,If Wishes Came True,Sweet Sensation,Love Child,Dance/Electronic,1990,-,Tudj meg még többet Sweet Sensation  If Wishes Came True című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/If_Wishes_Came_True"",""Wikipedia"")","=HYPERLINK(""https://www.deezer.com/hu/track/14662712?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/5qn1wxqcIjEQl36RM4ZHWR"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Ttprpesbyymngaqqaeoegho7ozi?play=1&u=0"",""Google Play"")",Sweet Sensation  If Wishes Came True dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/juris/ifwishescametrue.html"",""Sweet Sensation  If Wishes Came True dalszöveg"")"
"=CONCATENATE(Q17, "" - "", R17, "" - "", U17)","A Blaze of Glory, Jon Bon Jovi debütáló szólólemeze, amely 1990-ben elérte a Billboard Hot 100 és a Mainstream rock chart első helyét. ",A dalt figyelemre méltó Jeff Beck gitáros kiséri . A zenei videót a Utah-i Moab közelében található Rectoryban forgatták.,Blaze Of Glory a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1990-09-08"",""Billboard Hot 100 (USA) - 1.,1990. szeptember 8 - 1990. szeptember 15."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/blaze%20of%20glory/"",""Official Charts (UK) - 13., 1990. augusztus 4"")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2149"",""Offizielle Deutsche Charts (DE),Offizielle Deutsche Charts (DE) 16, 1990. augusztus 13."")",Jon Bon Jovi  Blaze Of Glory videóklip a YouTube oldalán,https://www.youtube.com/watch?v=MfmYCM4CS8o,https://youtu.be/MfmYCM4CS8o,2019. augusztus 18-án,"53,658,621 megtekintés",224K like,8.9K dislike,"8,902 komment",Jon Bon Jovi  Blaze Of Glory című dalának adatai,Blaze Of Glory,Jon Bon Jovi,Blaze of Glory,Hard Rock,1990,,Tudj meg még többet Jon Bon Jovi  Blaze Of Glory című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Blaze_of_Glory_(Jon_Bon_Jovi_song)"",""Wikipedia"")","=HYPERLINK(""https://www.deezer.com/hu/track/7332958?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/5uduy563XjmdkLryIna87r"",""Spotify"")","=HYPERLINK(""https://play.google.com/store/music/album/Jon_Bon_Jovi_Blaze_Of_Glory_Inspired_By_The_Film_Y?id=Bkn3it4wuz5ykwz73euamqvopwy"",""Google Play"")",Jon Bon Jovi  Blaze Of Glory dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/jonbonjovi/blazeofglory.html"",""Jon Bon Jovi  Blaze Of Glory dalszöveg"")"
"=CONCATENATE(Q18, "" - "", R18, "" - "", U18)","A Release me című dal 1990 szeptember 15-én elérte az első helyezést az amerikai Billboard Hot 100- on, két hétig vezette a listát. ","1990 szeptemberében a dal egy hétre a Billboard Hot Adult Contemporary listájának is vezette, továbbá Kanadában is az első helyre került. ",Release me a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1990-09-15"",""Billboard Hot 100 (USA) - 1.,1990. szeptember 15 - 1990. szeptember 29."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/release-me/"",""Official Charts (UK) - 36., 1990. augusztus 18. "")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-11410"",""Offizielle Deutsche Charts (DE),Offizielle Deutsche Charts (DE) 37, 1990. szeptember 10."")",Wilson Phillips Release Me a YouTube oldalán,https://www.youtube.com/watch?v=gcNyk54b3ZU,https://youtu.be/gcNyk54b3ZU,2019. augusztus 25-én,"4,530,204 megtekintés",18K like,660 dislike,"1,014 komment",Wilson Phillips Release Me című dalának adatai,Release me,Wilson Phillips,Wilson Phillips,Pop,1990,,Tudj meg még többet Wilson Phillips Release Me című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Release_Me_(Wilson_Phillips_song)"",""Wikipedia"")","=HYPERLINK(""https://www.deezer.com/sv/track/3090951?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/1Xi55xFMaymXdSWshmxhw2"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tjp67guazxidyhwjopsmnvwpk3m?play=1&u=0"",""Google Play"")",Wilson Phillips Release Me dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/wilsonphillips/releaseme.html"",""Wilson Phillips Release Me dalszöveg"")"
"=CONCATENATE(Q19, "" - "", R19, "" - "", U19)","(Can't Live Without Your) Love and Affection me című dal 1990 szeptember 29-én elérte az első helyezést az amerikai Billboard Hot 100- on, egy hégig vezette a listát. ","A zenei videóban a modell, Cindy Crawfordot és színésznő, Judie Aronson szerepel.",(Can't Live Without Your) Love and Affection a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1990-09-29"",""Billboard Hot 100 (USA) - 1.,1990. szeptember 29 - 1990. október 6."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/can't%20live%20without%20your/"",""Official Charts (UK) - 54., 1990. október 6."")",-,Nelson (Can't Live Without Your) Love and Affection a YouTube oldalán,https://www.youtube.com/watch?v=x1W6-ErrHls,https://youtu.be/x1W6-ErrHls,2019. augusztus 25-én,"5,515,300 megtekintés",29K like,1.1K dislike,"2,368 komment",Nelson (Can't Live Without Your) Love and Affection című dalának adatai,(Can't Live Without Your) Love and Affection,Nelson,After the Rain,Rock,1990,,Tudj meg még többet Nelson (Can't Live Without Your) Love and Affection című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/(Can%27t_Live_Without_Your)_Love_and_Affection"",""Wikipedia"")","=HYPERLINK(""https://www.deezer.com/sv/track/906622?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/5rF59lH6ndvr1fzfWDX9vO"",""Spotify"")",-,Nelson (Can't Live Without Your) Love and Affection dalszöveg,"=HYPERLINK(""https://genius.com/Nelson-cant-live-without-your-love-and-affection-lyrics"",""Nelson (Can't Live Without Your) Love and Affection"")"
"=CONCATENATE(Q20, "" - "", R20, "" - "", U20)","A Close To You 1990 júliusában jelent meg az ötödik albumként, a Bonafidenek (1990) vezető kislemezeként. 1990. október 6-án a dal az Egyesült Államokban a Billboard Hot 100 első helyezettje lett. ",A dalt a Sleeping with the Enemy című filmben is szerepel. ,Close To You a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1990-10-06"",""Billboard Hot 100 (USA) - 1.,1990. október 6. - 1990. október 13."")",-,"=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2167"",""Offizielle Deutsche Charts (DE),Offizielle Deutsche Charts (DE) 4, 1990. július 23."")",Maxi Priest Close To You a YouTube oldalán,https://www.youtube.com/watch?v=3mJ0zCD3tdA,https://youtu.be/3mJ0zCD3tdA,2019. augusztus 25-én,"7,784,030 megtekintés",52K like,2.1K dislike,"2,202 komment",Maxi Priest Close To You című dalának adatai,Close To You,Maxi Priest ,Bonafide,Reggae,1990,,Tudj meg még többet Maxi Priest Close To You című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Close_to_You_(Maxi_Priest_song)"",""Wikipedia"")","=HYPERLINK(""https://www.deezer.com/sv/track/3125893?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/27GnoD7FLhUzVLXh7cW7sg"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tdyu6ptfh5lgjlnf7ofm33fsu2e?play=1&u=0"",""Google Play"")",Maxi Priest Close To You dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/maxipriest/closetoyou.html"",""Maxi Priest Close To You dalszöveg"")"
"=CONCATENATE(Q21, "" - "", R21, "" - "", U21)",A Praying for Time című dalt az Egyesült Államokban 1990-ben adták ki. Egy vezette az USA Billboard Hot 100-as listáját. ,A Praying for Time volt Michael első kislemeze.A társadalmi betegségeket és az igazságtalanság sötét és komor visszatükröződését ábrázolja a dal. ,Praying for Time a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1990-10-13"",""Billboard Hot 100 (USA) - 1.,1990. október 13. - 1990. október 20."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/praying%20for%20time/"",""Official Charts (UK) - 6., 1990. augusztus 25."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2160"",""Offizielle Deutsche Charts (DE),Offizielle Deutsche Charts (DE) 19, 1990. szeptember 10."")",George Michael Praying for Time a YouTube oldalán,https://www.youtube.com/watch?v=goroyZbVdlo,https://youtu.be/goroyZbVdlo,2019. augusztus 26-án,"9,896,235 megtekintés",37K like,1.3K dislike,"3,941 komment",George Michael Praying for Time című dalának adatai,Praying for Time,George Michael , Listen Without Prejudice Vol. 1,Pop,1990,,Tudj meg még többet George Michael Praying for Time című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Praying_for_Time"",""Wikipedia"")","=HYPERLINK(""https://www.deezer.com/sv/track/75803342?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/3coLNlyStg9h7f8CZ103Rl"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Ttvc76vxbxeep6g47aok6h63dfe?play=1&u=0"",""Google Play"")",George Michael Praying for Time dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/georgemichael/prayingfortime.html"",""George Michael Praying for Time dalszöveg"")"
"=CONCATENATE(Q22, "" - "", R22, "" - "", U22)","A dal 1989-ben jelent meg, egy hétig vezette a  USA Billboard Hot 100-as listáját. ","A dalt Allan Rich és Jud Friedman írta, James Ingram számára. ",I Don't Have the Heart a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1990-10-20"",""Billboard Hot 100 (USA) - 1.,1990. október 20. - 1990. október 27."")",-,-,James Ingram I Don't Have the Heart a YouTube oldalán,https://www.youtube.com/watch?v=x65ZPd11gxY,https://youtu.be/x65ZPd11gxY,2019. augusztus 26-án,"3,490,027 megtekintés",20K like,674 dislike,"1,658 komment",James Ingram I Don't Have the Heart című dalának adatai,I Don't Have the Heart,James Ingram ,It's Real,R&B/Soul,1989,,Tudj meg még többet James Ingram I Don't Have the Heart című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/I_Don%27t_Have_the_Heart"",""Wikipedia"")","=HYPERLINK(""https://www.deezer.com/sv/track/14662724?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/5gN7Im7VUNQm7sJnmdofMc"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/T6j5ayvrzlowoeyv5wdaliu3uce?play=1&u=0"",""Google Play"")",James Ingram I Don't Have the Heart dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/jamesingram/idonthavetheheart.html"",""James Ingram I Don't Have the Heart dalszöveg"")"
"=CONCATENATE(Q23, "" - "", R23, "" - "", U23)","A dal kereskedelmi siker volt 1989-ben olyannyira, hogy egy hétig vezette az USA Billboard Hot 100-as listáját. ","Szövegei kábítószer-visszaélésekről és csoportos erőszakról szólnak, a dalt Janet Jackson írta.",Black Cat a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1990-10-27"",""Billboard Hot 100 (USA) - 1.,1990. október 27. - 1990. november 3."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/black%20cat/"",""Official Charts (UK) - 15., 1990. szeptember 8."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2186"",""Offizielle Deutsche Charts (DE),Offizielle Deutsche Charts (DE) 34, 1990. december 24."")",Janet Jackson Black Cat a YouTube oldalán,https://www.youtube.com/watch?v=qH-rPt1ftSo,https://youtu.be/qH-rPt1ftSo,2019. augusztus 26-án,"5,065,309 megtekintés",27K like,959 dislike,"2,603 komment",Janet Jackson Black Cat című dalának adatai,Black Cat,Janet Jackson,Janet Jackson's Rhythm Nation 1814,"Contemporary R&B, Pop",1989,Grammy-díj a legjobb női rock-ének,Tudj meg még többet Janet Jackson Black Cat című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Black_Cat_(song)"",""Wikipedia"")","=HYPERLINK(""https://www.deezer.com/sv/track/17689040?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/4OD3LU6001esAtFshDX46M"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Ttwbfrejxnoxwqhzrwzq7ua43ry?play=1&u=0"",""Google Play"")",Janet Jackson Black Cat dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/janetjackson/blackcat.html"",""Janet Jackson Black Cat dalszöveg"")"
"=CONCATENATE(Q24, "" - "", R24, "" - "", U24)","Az eredetileg 1989-ben megjelent Ice Ice baby című szám, csak a 1990-ben újrakiadott The Extreme albumán már közönségsikert aratott. Olyannyira, hogy a USA Billboard Hot 100-as listáját is vezette egy hétig. ","A ""Ice Ice Baby"" volt az első hip-hop kislemez, amely a Billboard Hot 100 lista élére került. ",Ice ice baby a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1990-11-03"",""Billboard Hot 100 (USA) - 1.,1990. november 3. - 1990. november 10."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/ice%20ice%20baby/"",""Official Charts (UK) - 1., 1990. november 24."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2187"",""Offizielle Deutsche Charts (DE),Offizielle Deutsche Charts (DE) 2, 1990. november 5."")",Vanilla Ice Ice Ice Baby a YouTube oldalán,https://www.youtube.com/watch?v=rog8ou-ZepE,https://youtu.be/rog8ou-ZepE,2019. augusztus 27-én,"294,150,593 megtekintés",1.2M like,107K dislike,"83,987 komment",Vanilla Ice Ice Ice Baby című dalának adatai,Ice ice baby,Vanilla Ice,To the Extreme,Hip-Hop/Rap,1990,People's Choice díj legjobb új dal,Tudj meg még többet Vanilla Ice Ice Ice Baby című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Ice_Ice_Baby"",""Wikipedia"")","=HYPERLINK(""https://www.deezer.com/sv/track/2397026?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/5SUi1JvonaxFCINef9iXvn"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Ty2xyhg6v476gvnoafhh2qs6tqu?play=1&u=0"",""Google Play"")",Vanilla Ice Ice Ice Baby dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/vanillaice/iceicebaby.html"",""Vanilla Ice Ice Ice Baby dalszöveg"")"
"=CONCATENATE(Q25, "" - "", R25, "" - "", U25)",A Love Takes This című dalt 1990. július 9- én adták ki második kislemezként. Három hétig vezette az USA Billboard Hot 100-as listáját.,"Mariah Carrey balladájáz a zenei kritikusok jól fogadták, Európában azonban nem okozott akkora sikert mint előző kislmeze. ",Love Takes Time a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1990-11-10"",""Billboard Hot 100 (USA) - 1.,1990. november 10. - 1990. december 1."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/love%20takes%20time/"",""Official Charts (UK) - 37., 1990. november 10."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-20294"",""Offizielle Deutsche Charts (DE),Offizielle Deutsche Charts (DE) 57, 1990. december 3."")",Mariah Carey Love Takes Time a YouTube oldalán,https://www.youtube.com/watch?v=FkDpwF6-QiA,https://youtu.be/FkDpwF6-QiA,2019. augusztus 27-én,"28,001,662 megtekintés",116K like,4.3K dislike,"5,820 komment",Mariah Carey Love Takes Time című dalának adatai,Love Takes Time,Mariah Carey,Mariah Carey,Contemporary R&B,1990,-,Tudj meg még többet Mariah Carey Love Takes Time című daláról,"=HYPERLINK(""https://en.wikipedia.org/wiki/Love_Takes_Time"",""Wikipedia"")","=HYPERLINK(""https://www.deezer.com/sv/track/1056721?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/5SwNGsGw1I8H361DKiYnnn"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/T6zbj7djp7ri4zk76rbbme7ds7y?play=1&u=0"",""Google Play"")",Mariah Carey Love Takes Time dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/mariahcarey/lovetakestime.html"",""Mariah Carey Love Takes Time dalszöveg"")"
"=CONCATENATE(Q26, "" - "", R26, "" - "", U26)","A dal 1990-ben jelent meg nagy sikert övezve, az USA Billboard Hot 100-as listáját egy hétig vezette.","A Houston 2012-es halálát követően a Entertainment Weekly közzétette Houston 25 legjobb dalának listáját, és az I'm Your Baby Tonight című dal a rangsorban a 18. helyen áll.",I'm Your Baby Tonight a zenei listákon,"=HYPERLINK(""https://www.billboard.com/charts/hot-100/1990-12-01"",""Billboard Hot 100 (USA) - 1.,1990. december 1. - 1990. december 8."")","=HYPERLINK(""https://www.officialcharts.com/search/singles/i'm-your-baby-tonight/"",""Official Charts (UK) - 5., 1990. október 20."")","=HYPERLINK(""https://www.offiziellecharts.de/titel-details-2185"",""Offizielle Deutsche Charts (DE),Offizielle Deutsche Charts (DE) 5, 1990. október 29."")",Whitney Houston I'm Your Baby Tonight a YouTube oldalán,https://www.youtube.com/watch?v=i0oRnyXxIrY,https://youtu.be/i0oRnyXxIrY,2019. augusztus 27-én,"6,013,298 megtekintés",57K like,1.3K dislike,"2,868 komment",Whitney Houston I'm Your Baby Tonight című dalának adatai,I'm Your Baby Tonight,Whitney Houston,I'm Your Baby Tonight,Contemporary R&B,1990,Grammy-díj a legjobb női pop előadó,Tudj meg még többet Whitney Houston I'm Your Baby Tonight című daláról ,"=HYPERLINK(""https://en.wikipedia.org/wiki/I%27m_Your_Baby_Tonight_(song)"",""Wikipedia"")","=HYPERLINK(""https://www.deezer.com/sv/track/113470256?autoplay=true"",""Deezer"")","=HYPERLINK(""https://open.spotify.com/album/3gIMiRK3Yjczb3IAd7Zrl3"",""Spotify"")","=HYPERLINK(""https://play.google.com/music/preview/Tqotnhhqbrquetxhqrlspicekpq?play=1&u=0"",""Google Play"")",Whitney Houston I'm Your Baby Tonight dalszöveg,"=HYPERLINK(""https://www.azlyrics.com/lyrics/whitneyhouston/imyourbabytonight.html"",""Whitney Houston I'm Your Baby Tonight dalszöveg"")"
